time,error, trail_pos, steering, trail_time
0.349203,0.1118,0.2235,0.0000,6.9200,
0.365765,0.1095,0.2190,0.0000,6.9400,
0.382798,0.1072,0.2145,0.0000,6.9600,
0.398836,0.1050,0.2100,0.0000,6.9800,
0.415630,0.1027,0.2055,0.0000,7.0000,
0.431920,0.1005,0.2010,0.0000,7.0200,
0.447986,0.0982,0.1964,0.0000,7.0400,
0.464028,0.0960,0.1919,0.0000,7.0600,
0.480063,0.0937,0.1874,0.0000,7.0800,
0.497082,0.0914,0.1829,0.0000,7.1000,
0.513606,0.0892,0.1784,0.0000,7.1200,
0.529629,0.0869,0.1739,0.0000,7.1400,
0.545662,0.0847,0.1693,0.0000,7.1600,
0.562727,0.0824,0.1648,0.0000,7.1800,
0.580772,0.0802,0.1603,0.0000,7.2000,
0.596314,0.0779,0.1558,0.0000,7.2200,
0.612350,0.0756,0.1513,0.0000,7.2400,
0.628536,0.0734,0.1468,0.0000,7.2600,
0.645555,0.0711,0.1423,0.0000,7.2800,
0.662649,0.0689,0.1377,0.0000,7.3000,
0.678668,0.0666,0.1332,0.0000,7.3200,
0.695183,0.0643,0.1287,0.0000,7.3400,
0.712210,0.0621,0.1242,0.0000,7.3600,
0.728334,0.0598,0.1197,0.0000,7.3800,
0.745391,0.0576,0.1152,0.0000,7.4000,
0.761444,0.0553,0.1106,0.0000,7.4200,
0.778474,0.0531,0.1061,0.0000,7.4400,
0.796005,0.0508,0.1016,0.0000,7.4600,
0.813049,0.0485,0.0971,0.0000,7.4800,
0.830083,0.0463,0.0926,0.0000,7.5000,
0.847121,0.0494,0.0988,0.0000,7.5200,
0.863651,0.0525,0.1050,0.0000,7.5400,
0.880680,0.0556,0.1113,0.0000,7.5600,
0.897195,0.0587,0.1175,0.0000,7.5800,
0.913229,0.0619,0.1237,0.0000,7.6000,
0.930261,0.0650,0.1300,0.0000,7.6200,
0.946283,0.0681,0.1362,0.0000,7.6400,
0.962825,0.0712,0.1424,0.0000,7.6600,
0.979855,0.0743,0.1486,0.0000,7.6800,
0.996380,0.0774,0.1549,0.0000,7.7000,
1.012414,0.0805,0.1611,0.0000,7.7200,
1.029454,0.0837,0.1673,0.0000,7.7400,
1.046486,0.0868,0.1736,0.0000,7.7600,
1.062529,0.0899,0.1798,0.0000,7.7800,
1.078561,0.0930,0.1860,0.0000,7.8000,
1.095091,0.0961,0.1923,0.0000,7.8200,
1.112121,0.0992,0.1985,0.0000,7.8400,
1.128241,0.1024,0.2047,0.0000,7.8600,
1.144690,0.1055,0.2109,0.0000,7.8800,
1.161253,0.1086,0.2172,0.0000,7.9000,
1.178288,0.1117,0.2234,0.0000,7.9200,
1.194819,0.1148,0.2296,0.0000,7.9400,
1.210859,0.1179,0.2358,0.0000,7.9600,
1.227384,0.1210,0.2421,0.0000,7.9800,
1.242929,0.1242,0.2483,0.0000,8.0000,
1.259461,0.1273,0.2545,0.0000,8.0200,
1.275978,0.1304,0.2608,0.0000,8.0400,
1.292005,0.1335,0.2670,0.0000,8.0600,
1.308035,0.1366,0.2732,0.0000,8.0800,
1.324557,0.1397,0.2795,0.0000,8.1000,
1.341601,0.1428,0.2857,0.0000,8.1200,
1.358629,0.1460,0.2919,0.0000,8.1400,
1.375153,0.1491,0.2982,0.0000,8.1600,
1.391222,0.1522,0.3044,0.0000,8.1800,
1.408307,0.1553,0.3106,0.0000,8.2000,
1.425184,0.1584,0.3168,0.0000,8.2200,
1.442220,0.1615,0.3231,0.0000,8.2400,
1.458780,0.1647,0.3293,0.0000,8.2600,
1.475301,0.1678,0.3355,0.0000,8.2800,
1.491338,0.1709,0.3418,0.0000,8.3000,
1.507467,0.1740,0.3480,0.0000,8.3200,
1.523993,0.1771,0.3542,0.0000,8.3400,
1.540018,0.1802,0.3604,0.0000,8.3600,
1.557046,0.1833,0.3667,0.0000,8.3800,
1.573085,0.1865,0.3729,0.0000,8.4000,
1.590114,0.1896,0.3791,0.0000,8.4200,
1.607141,0.1927,0.3854,0.0000,8.4400,
1.623710,0.1958,0.3916,0.0000,8.4600,
1.640749,0.1989,0.3978,0.0000,8.4800,
1.657267,0.2020,0.4040,0.0000,8.5000,
1.673303,0.2051,0.4103,0.0000,8.5200,
1.689328,0.2083,0.4165,0.0000,8.5400,
1.705849,0.2114,0.4227,0.0000,8.5600,
1.721896,0.2145,0.4290,0.0000,8.5800,
1.737912,0.2176,0.4352,0.0000,8.6000,
1.754433,0.2207,0.4414,0.0000,8.6200,
1.771968,0.2238,0.4477,0.0000,8.6400,
1.788995,0.2269,0.4539,0.0000,8.6600,
1.806119,0.2301,0.4601,0.0000,8.6800,
1.822654,0.2332,0.4663,0.0000,8.7000,
1.839686,0.2363,0.4726,0.0000,8.7200,
1.855727,0.2394,0.4788,0.0000,8.7400,
1.871758,0.2425,0.4850,0.0000,8.7600,
1.888786,0.2456,0.4913,0.0000,8.7800,
1.905307,0.2487,0.4975,0.0000,8.8000,
1.921632,0.2519,0.5037,0.0000,8.8200,
1.937665,0.2550,0.5100,0.0000,8.8400,
1.953754,0.2581,0.5162,0.0000,8.8600,
1.969786,0.2612,0.5224,0.0000,8.8800,
1.986355,0.2643,0.5287,0.0000,8.9000,
2.002432,0.2674,0.5349,0.0000,8.9200,
2.019460,0.2706,0.5411,0.0000,8.9400,
2.035976,0.2737,0.5473,0.0000,8.9600,
2.052520,0.2768,0.5536,0.0000,8.9800,
2.069545,0.2799,0.5598,0.0000,9.0000,
2.086061,0.2766,0.5532,0.0000,9.0200,
2.103096,0.2733,0.5467,0.0000,9.0400,
2.119115,0.2701,0.5401,0.0000,9.0600,
2.134636,0.2668,0.5336,0.0000,9.0800,
2.151243,0.2635,0.5270,0.0000,9.1000,
2.167265,0.2602,0.5205,0.0000,9.1200,
2.182803,0.2570,0.5139,0.0000,9.1400,
2.198828,0.2537,0.5074,0.0000,9.1600,
2.215351,0.2504,0.5008,0.0000,9.1800,
2.231389,0.2471,0.4943,0.0000,9.2000,
2.247416,0.2439,0.4877,0.0000,9.2200,
2.264457,0.2406,0.4812,0.0000,9.2400,
2.281502,0.2373,0.4746,0.0000,9.2600,
2.298533,0.2340,0.4681,0.0000,9.2800,
2.316062,0.2308,0.4615,0.0000,9.3000,
2.333091,0.2275,0.4550,0.0000,9.3200,
2.349666,0.2242,0.4484,0.0000,9.3400,
2.366194,0.2209,0.4419,0.0000,9.3600,
2.383249,0.2177,0.4353,0.0000,9.3800,
2.399290,0.2144,0.4288,0.0000,9.4000,
2.415817,0.2111,0.4222,0.0000,9.4200,
2.441449,0.2078,0.4157,0.0000,9.4400,
2.454720,0.2046,0.4091,0.0000,9.4600,
2.470491,0.2013,0.4026,0.0000,9.4800,
2.491367,0.1980,0.3960,0.0000,9.5000,
2.505154,0.1947,0.3895,0.0000,9.5200,
2.521885,0.1915,0.3829,0.0000,9.5400,
2.538923,0.1882,0.3764,0.0000,9.5600,
2.554978,0.1849,0.3698,0.0000,9.5800,
2.571534,0.1816,0.3633,0.0000,9.6000,
2.588581,0.1784,0.3567,0.0000,9.6200,
2.605005,0.1751,0.3502,0.0000,9.6400,
2.621547,0.1718,0.3436,0.0000,9.6600,
2.637608,0.1685,0.3371,0.0000,9.6800,
2.654133,0.1653,0.3305,0.0000,9.7000,
2.671103,0.1620,0.3240,0.0000,9.7200,
2.687145,0.1587,0.3174,0.0000,9.7400,
2.703678,0.1554,0.3109,0.0000,9.7600,
2.720708,0.1522,0.3043,0.0000,9.7800,
2.737231,0.1489,0.2978,0.0000,9.8000,
2.753779,0.1456,0.2912,0.0000,9.8200,
2.769822,0.1423,0.2847,0.0000,9.8400,
2.786353,0.1391,0.2781,0.0000,9.8600,
2.802384,0.1358,0.2716,0.0000,9.8800,
2.818410,0.1325,0.2650,0.0000,9.9000,
