time, trail_pos
0.02,0.0
0.04,0.0
0.05,0.0
0.07,0.0
0.08,0.0
0.10,0.0
0.12,0.0
0.13,0.0
0.15,0.0
0.16,0.0
0.18,0.0
0.20,0.0
0.22,0.0
0.23,0.0
0.25,0.0
0.27,0.0
0.29,0.0
0.30,0.0
0.32,0.0
0.33,0.0
0.35,0.0
0.36,0.0
0.38,0.0
0.40,0.0
0.41,0.0
0.43,0.0
0.44,0.0
0.46,0.0
0.48,0.0
0.49,0.0
0.51,0.0
0.53,0.0
0.54,0.0
0.56,0.0
0.58,0.0
0.59,0.0
0.61,0.0
0.63,0.0
0.64,0.0
0.66,0.0
0.68,0.0
0.69,0.0
0.71,0.0
0.73,0.0
0.74,0.0
0.76,0.0
0.78,0.0
0.80,0.0
0.81,0.0
0.82,0.0
0.84,0.0
0.85,0.0
0.87,0.0
0.89,0.0
0.91,0.0
0.93,0.0
0.94,0.0
0.96,0.0
0.99,0.0
1.00,0.0
1.02,0.0
1.03,0.0
1.05,0.0
1.07,0.0
1.08,0.0
1.10,0.0
1.12,0.0
1.13,0.0
1.15,0.0
1.17,0.0
1.18,0.0
1.20,0.0
1.22,0.0
1.23,0.0
1.25,0.0
1.27,0.0
1.28,0.0
1.30,0.0
1.31,0.0
1.33,0.0
1.35,0.0
1.36,0.0
1.38,0.0
1.40,0.0
1.41,0.0
1.43,0.0
1.45,0.0
1.47,0.0
1.48,0.0
1.50,0.0
1.52,0.0
1.53,0.0
1.55,0.0
1.57,0.0
1.58,0.0
1.60,0.0
1.62,0.0
1.63,0.0
1.65,0.0
1.67,0.0
1.68,0.0
1.70,0.0
1.72,0.0
1.73,0.0
1.75,0.0
1.77,0.0
1.79,0.0
1.80,0.0
1.82,0.0
1.84,0.0
1.85,0.0
1.87,0.0
1.88,0.0
1.90,0.0
1.92,0.0
1.94,0.0
1.95,0.0
1.97,0.0
1.98,0.0
2.00,0.0
2.01,0.0
2.03,0.0
2.05,0.0
2.07,0.0
2.08,0.0
2.10,0.0
2.12,0.0
2.13,0.0
2.15,0.0
2.17,0.0
2.18,0.0
2.20,0.0
2.22,0.0
2.23,0.0
2.25,0.0
2.27,0.0
2.28,0.0
2.30,0.0
2.32,0.0
2.33,0.0
2.35,0.0
2.37,0.0
2.38,0.0
2.40,0.0
2.42,0.0
2.44,0.0
2.45,0.0
2.47,0.0
2.49,0.0
2.50,0.0
2.52,0.0
2.53,0.0
2.55,0.0
2.57,0.0
2.58,0.0
2.60,0.0
2.62,0.0
2.63,0.0
2.65,0.0
2.67,0.0
2.68,0.0
2.70,0.0
2.72,0.0
2.73,0.0
2.75,0.0
2.77,0.0
2.78,0.0
2.80,0.0
2.81,0.0
2.83,0.0
2.85,0.0
2.87,0.0
2.88,0.0
2.90,0.0
2.92,0.0
2.94,0.0
2.95,0.0
2.97,0.0
2.99,0.0
3.00,0.0
3.02,0.0
3.04,0.0
3.05,0.0
3.07,0.0
3.08,0.0
3.10,0.0
3.12,0.0
3.13,0.0
3.15,0.0
3.17,0.0
3.18,0.0
3.20,0.0
3.22,0.0
3.24,0.0
3.25,0.0
3.27,0.0
3.28,0.0
3.30,0.0
3.32,0.0
3.34,0.0
3.35,0.0
3.37,0.0
3.38,0.0
3.40,0.0
3.42,0.0
3.43,0.0
3.45,0.0
3.47,0.0
3.48,0.0
3.50,0.0
3.52,0.0
3.53,0.0
3.55,0.0
3.57,0.0
3.59,0.0
3.60,0.0
3.62,0.0
3.63,0.0
3.65,0.0
3.67,0.0
3.69,0.0
3.70,0.0
3.72,0.0
3.74,0.0
3.75,0.0
3.77,0.0
3.79,0.0
3.80,0.0
3.82,0.0
3.84,0.0
3.85,0.0
3.87,0.0
3.88,0.0
3.90,0.0
3.92,0.0
3.93,0.0
3.95,0.0
3.97,0.0
3.98,0.0
4.00,0.0
4.02,0.0
4.03,0.0
4.05,0.0
4.07,0.0
4.08,0.0
4.10,0.0
4.12,0.0
4.13,0.0
4.15,0.0
4.17,0.0
4.18,0.0
4.20,0.0
4.22,0.0
4.23,0.0
4.25,0.0
4.27,0.0
4.28,0.0
4.30,0.0
4.32,0.0
4.33,0.0
4.35,0.0
4.37,0.0
4.38,0.0
4.40,0.0
4.42,0.0
4.43,0.0
4.45,0.0
4.47,0.0
4.48,0.0
4.50,0.0
4.52,0.0
4.53,0.0
4.55,0.0
4.57,0.0
4.58,0.0
4.60,0.0
4.61,0.0
4.63,0.0
4.65,0.0
4.66,0.0
4.68,0.0
4.70,0.0
4.71,0.0
4.73,0.0
4.75,0.0
4.77,0.0
4.78,0.0
4.80,0.0
4.82,0.0
4.84,0.0
4.85,0.0
4.87,0.0
4.88,0.0
4.90,0.0
4.92,0.0
4.93,0.0
4.95,0.0
4.97,0.0
4.98,0.0
5.00,0.0
5.02,0.0
5.04,0.0
5.05,0.0
5.07,0.0
5.09,0.0
5.11,0.0
5.12,0.0
5.14,0.0
5.15,0.0
5.17,0.0
5.19,0.0
5.20,0.0
5.22,0.0
5.23,0.0
5.25,0.0
5.27,0.0
5.29,0.0
5.30,0.0
5.32,0.0
5.33,0.0
5.35,0.0
5.36,0.0
5.38,0.0
5.40,0.0
5.41,0.0
5.43,0.0
5.45,0.0
5.47,0.0
5.48,0.0
5.50,0.0
5.52,0.0
5.53,0.0
5.55,0.0
5.56,0.0
5.58,0.0
5.60,0.0
5.61,0.0
5.63,0.0
5.65,0.0
5.66,0.0
5.68,0.0
5.70,0.0
5.71,0.0
5.73,0.0
5.75,0.0
5.76,0.0
5.78,0.0
5.79,0.0
5.81,0.0
5.83,0.0
5.84,0.0
5.86,0.0
5.88,0.0
5.89,0.0
5.91,0.0033000595778330238
5.93,0.006487190583051734
5.95,0.009737034160125016
5.96,0.012894164206060916
5.98,0.01608331671542732
5.99,0.01938356006636468
6.01,0.02270199695463128
6.04,0.027533208094513633
6.05,0.03045253574343908
6.07,0.03351033642648151
6.08,0.03681149864294055
6.10,0.040142983421614986
6.12,0.043195179024975175
6.13,0.04641470003983306
6.15,0.049786477071633105
6.17,0.05318186894734029
6.18,0.05618688080616228
6.20,0.05945317207607361
6.22,0.062414032446578935
6.24,0.06621827353615707
6.25,0.06892240287990536
6.26,0.07205100215139314
6.28,0.0752628965824211
6.30,0.07858032271861384
6.32,0.08205028053140526
6.34,0.08510385443304797
6.35,0.08833293164933131
6.37,0.09148974009233463
6.38,0.09464360816566857
6.40,0.09763309119717418
6.41,0.10091541667043881
6.43,0.10408026518675681
6.45,0.10754415848710515
6.46,0.11045599738202891
6.48,0.11346771695915915
6.50,0.11675307468864532
6.51,0.1200137608788744
6.53,0.12319340313009143
6.55,0.12638191243359265
6.56,0.12950215002883314
6.58,0.13250027039624254
6.60,0.13560681689521004
6.61,0.1387826458545121
6.63,0.14191225587807374
6.65,0.14532896543388388
6.67,0.14833907699635118
6.68,0.1518330631425345
6.70,0.15522422823684198
6.71,0.15832742087665533
6.73,0.16147246784098115
6.75,0.164551861863783
6.76,0.16757433216751688
6.78,0.17067757075060633
6.80,0.173894243282347
6.81,0.17719081117119764
6.83,0.18051462342276606
6.85,0.18398894584678543
6.86,0.18691213273090193
6.88,0.1899518317631673
6.90,0.19314318954978574
6.91,0.19642138012820282
6.93,0.19958158837363635
6.95,0.202814662654939
6.96,0.20610829017412027
6.98,0.20939305064101735
7.00,0.21277116784491698
7.01,0.21557715343174336
7.03,0.21887317000128098
7.04,0.22206071449598444
7.06,0.2253480937296183
7.08,0.2285249793842703
7.09,0.23163428247980283
7.11,0.23483551807077932
7.13,0.2382569597840261
7.15,0.24145304972808118
7.17,0.2452882106424638
7.18,0.24791221491272172
7.20,0.25105128925115666
7.21,0.2542272100970109
7.23,0.257392655875918
7.24,0.26041485051999536
7.26,0.2637488621788544
7.28,0.2668699726963405
7.29,0.2699702249664845
7.31,0.27307442835837165
7.33,0.2762920656989101
7.34,0.27941689762175903
7.36,0.28256235807556956
7.37,0.28595347722660097
7.39,0.28893822810066994
7.41,0.2922818419042305
7.43,0.2953885721763023
