time, trail_pos
0.01,-0.23074657404166785
0.03,-0.2302824037739631
0.04,-0.22982058259445648
0.06,-0.22935915748214605
0.08,-0.2288615673375763
0.09,-0.22840073632606014
0.11,-0.2279215086761553
0.13,-0.2274333831718256
0.14,-0.2269673008555875
0.16,-0.2264788339140197
0.17,-0.22599103618943858
0.19,-0.22553060124511864
0.21,-0.22505230913324617
0.22,-0.2245893475533643
0.24,-0.22413124803975293
0.26,-0.223692241696496
0.28,-0.2232134169425321
0.29,-0.22276501424648273
0.31,-0.2222705448382692
0.33,-0.2218041415710273
0.34,-0.2213005557885565
0.36,-0.22083391351524795
0.37,-0.22037962444121376
0.39,-0.21989127358830693
0.41,-0.21943814540088227
0.42,-0.21896587624188985
0.44,-0.21849294469465552
0.46,-0.21801901615068595
0.47,-0.21752825475087814
0.49,-0.2170578566679505
0.50,-0.2165910231897886
0.52,-0.21609469636299977
0.54,-0.21561576917786443
0.56,-0.21510440545510978
0.57,-0.21465522428215755
0.59,-0.21419733645963382
0.61,-0.2137259618662052
0.62,-0.2132460103693556
0.64,-0.21277531865040317
0.66,-0.2131062861823093
0.67,-0.21342887736667635
0.69,-0.21376476464142768
0.71,-0.214115449025314
0.72,-0.21443662442227898
0.74,-0.21476017682685541
0.76,-0.21508708166447746
0.77,-0.21541075244592697
0.79,-0.21574580634749183
0.80,-0.21607439687178653
0.82,-0.21641360343405902
0.84,-0.21675318406725044
0.86,-0.2170697948519895
0.87,-0.21740904876501121
0.89,-0.21772400227352715
0.90,-0.21804874318190928
0.92,-0.21837223876558665
0.94,-0.2187033909654148
0.95,-0.21902982703061946
0.97,-0.21935060941636583
0.99,-0.21968999117641047
1.00,-0.22002662185792474
1.02,-0.2203543269232088
1.04,-0.22069670598567984
1.05,-0.22100711855734442
1.07,-0.22132595482729736
1.08,-0.2216561079263167
1.10,-0.22198327792813446
1.12,-0.2223156517772928
1.14,-0.22265737739942443
1.15,-0.22297762472170446
1.17,-0.22331618731378738
1.19,-0.22367072604866117
1.20,-0.22397961866127541
1.22,-0.22432304417530446
1.24,-0.22463275122080548
1.25,-0.22497168788380734
1.27,-0.2252913717321715
1.29,-0.22561063415886753
1.30,-0.2259310045930956
1.32,-0.22625423027750233
1.33,-0.22655905546075755
1.35,-0.2268899993172891
1.37,-0.2272165064086176
1.38,-0.22754296614919686
1.40,-0.22786315665057782
1.42,-0.22821218849331593
1.43,-0.2285523704810226
1.45,-0.228874260874301
1.47,-0.22919029871497432
1.48,-0.2295279332323723
1.50,-0.2298413715169128
1.52,-0.2301653264028577
1.53,-0.23048903032983167
1.55,-0.23081951014902072
1.57,-0.23114216288936174
1.58,-0.23147367968995897
1.60,-0.23181376224109224
1.61,-0.23212697324203643
1.63,-0.23245224447880997
1.65,-0.23278956648126303
1.66,-0.23311674595323062
1.68,-0.23344024153690798
1.70,-0.23375857115384413
1.71,-0.23407749265514569
1.73,-0.23439841235806483
1.75,-0.2347227934007528
1.76,-0.23505194266388843
1.78,-0.2353610483548742
1.79,-0.23568591711027928
1.81,-0.23600244739874462
1.83,-0.23633315450153
1.84,-0.2366543346335699
1.86,-0.23697810958666773
1.88,-0.23730778444311984
1.89,-0.2376414699080319
1.91,-0.23796991364500397
1.92,-0.23829555895269644
1.94,-0.23863373326863568
1.96,-0.2389620823041093
1.97,-0.2392819271450209
1.99,-0.23961283785602797
2.01,-0.2399528493810374
2.02,-0.24029190915598728
2.04,-0.24061185816854716
2.06,-0.24092047141174092
2.07,-0.24126000942925804
2.09,-0.2415999025773944
2.11,-0.24193806742318377
2.12,-0.24226992041410056
2.14,-0.24258657854958882
2.15,-0.24291483761863888
2.17,-0.24325400156523708
2.19,-0.24357662589512857
2.20,-0.24390484708357926
2.22,-0.2442242941781973
2.24,-0.24454376494818994
2.25,-0.24485273332200294
2.27,-0.24517209518527236
2.29,-0.24549932200798918
2.30,-0.24581017967669655
2.32,-0.24613547932391963
2.34,-0.2464873001257875
2.35,-0.24682842439340388
2.37,-0.24714773417084915
2.39,-0.2474773380011774
2.40,-0.24779242409179117
2.42,-0.24811569712694712
2.43,-0.24844804730073083
2.45,-0.24876759383192223
2.47,-0.24908770857210444
2.48,-0.24941452344330295
2.50,-0.24974811420671653
2.52,-0.2500781915445371
2.54,-0.25042444389829527
2.55,-0.2507617564305985
2.57,-0.25109929151142313
2.58,-0.25141938731130564
2.60,-0.25174949779465067
2.62,-0.2520684855870011
2.63,-0.2523881315547659
2.65,-0.2527035538356992
2.67,-0.25302592720661976
2.69,-0.2533516861561104
2.70,-0.2536904760317897
2.72,-0.2540195353285018
2.73,-0.25433065342632993
2.75,-0.2546702245893715
2.77,-0.25499937385250715
2.78,-0.25532675693269646
2.80,-0.2556464313109108
2.82,-0.2559775551002894
2.83,-0.2563143136288266
2.85,-0.256635157570547
2.87,-0.25696313253510167
2.88,-0.2573145982063503
2.90,-0.25763362861437505
2.92,-0.2579540842799517
2.93,-0.2582932671668496
2.95,-0.2586217109038217
2.96,-0.2589524606222814
2.98,-0.2593029603382457
3.00,-0.25963415515374816
3.01,-0.2599613393607907
3.03,-0.26029886970654037
3.05,-0.26063758855609576
3.06,-0.26097883120058524
3.08,-0.26028669642595126
3.10,-0.25957299371216436
3.12,-0.2588841070018289
3.13,-0.25819562629953074
3.15,-0.25747795262908624
3.17,-0.2568119410057311
3.18,-0.2561478009804017
3.20,-0.2554817893570466
3.22,-0.2548169759525333
3.23,-0.2541353478736942
3.25,-0.2534549180136969
3.26,-0.25274953351335744
3.28,-0.2520521899526838
3.30,-0.2513473401946374
3.31,-0.25065610655979353
3.33,-0.24995051410411787
3.35,-0.24929580138736213
3.36,-0.24864083120209493
3.38,-0.24794410160479477
3.40,-0.24721990209784808
3.42,-0.24655022649952207
3.43,-0.24587791680027107
3.45,-0.24517542386936808
3.47,-0.24451686893021043
3.48,-0.24386539437511814
3.50,-0.24316421849467765
3.51,-0.2424523279631061
3.53,-0.2417838109730817
3.55,-0.24108133784744878
3.57,-0.24038550938993875
3.58,-0.23967469824558835
3.60,-0.23901802480709144
3.61,-0.23830796626300532
3.63,-0.23759792752418932
3.65,-0.23689729628867692
3.66,-0.23620236897095703
3.68,-0.23554073431229686
3.70,-0.23485442228707606
3.71,-0.23414194750003617
3.73,-0.23345143675755145
3.75,-0.23274928051624036
3.77,-0.23203879615884682
3.78,-0.23132750968801372
3.80,-0.23060898439095434
3.82,-0.22989393491879978
3.83,-0.2292070782486509
3.86,-0.2285197858625595
3.87,-0.22787087608994683
3.88,-0.2272117269926858
3.90,-0.22650010383226077
3.92,-0.22580299793482847
3.93,-0.22513403532622653
3.95,-0.22444610917149152
3.97,-0.22374567598868025
3.98,-0.2230663948343495
4.00,-0.2223635157006793
4.01,-0.22164752547819438
4.03,-0.2209364865732377
4.05,-0.22021181173980828
4.07,-0.21954937496770852
4.08,-0.2188986827207857
4.10,-0.21821629213904722
4.11,-0.21752093900801991
4.13,-0.21683375555091414
4.15,-0.21614951317642012
4.16,-0.21546728103684257
4.18,-0.21475170672503002
4.20,-0.21405140227647448
4.21,-0.21333187681327442
4.23,-0.21264054415208
4.25,-0.21195053844398315
4.26,-0.21124615410978437
4.28,-0.21057373548154773
4.30,-0.20988801761443032
4.31,-0.20920387426628687
4.33,-0.20853432740221658
4.35,-0.20779626420619088
4.36,-0.207119765692311
4.38,-0.20644352464694257
4.40,-0.20577172988471448
4.41,-0.20506651372917095
4.43,-0.20439448130370153
4.45,-0.20373004419932036
4.46,-0.2030480398203491
4.48,-0.2023347332119645
4.50,-0.20161873308684453
4.51,-0.20090963509835888
4.53,-0.20019489260789108
4.55,-0.1995181663334049
4.56,-0.19881715879776038
4.58,-0.19813460977386102
4.60,-0.1974397319693164
4.62,-0.1985240564514356
4.63,-0.1996038688682987
4.65,-0.2006786879329451
4.66,-0.20170943916025733
4.68,-0.20273462550708707
4.70,-0.20383845715132995
4.71,-0.20491548712795182
4.73,-0.2059922313404408
4.75,-0.20706231273656836
4.77,-0.2081075176129175
4.78,-0.20913366653366852
4.80,-0.21014420370863357
4.82,-0.2112101791253781
4.83,-0.21224008810050918
4.85,-0.21331702783582593
4.87,-0.21435964579476158
4.88,-0.21539382619166839
4.90,-0.21646419335192882
4.92,-0.21749359095966422
4.93,-0.21855117393503248
4.95,-0.21962859495730988
4.97,-0.22067637171085497
4.98,-0.22169414323044725
5.00,-0.22278183672129095
5.01,-0.22382744768351312
5.03,-0.22490495894709564
5.05,-0.22591918097535316
5.07,-0.22690180350660072
5.08,-0.22798167608433392
5.10,-0.22898163998638227
5.11,-0.23005606800537315
5.13,-0.231083946551139
5.15,-0.2321683612745633
5.16,-0.2331861478343731
5.18,-0.23420360350939745
5.20,-0.23521829178439807
5.22,-0.23630081144041482
5.23,-0.2373363755373335
5.25,-0.2383694279179263
5.26,-0.23945751245442554
5.28,-0.24052616502988866
5.30,-0.24160558640109625
5.32,-0.24269066289409144
5.33,-0.24371455578221443
5.35,-0.24473698976923797
5.37,-0.24579520443374206
5.38,-0.24681872131642704
5.40,-0.24789988735286697
5.42,-0.24899174698396379
5.43,-0.2500171438938388
5.45,-0.25099314872937745
5.46,-0.25208583557243786
5.48,-0.25318166582095997
5.50,-0.25419560208508457
5.51,-0.25527195525191804
5.53,-0.2562725207626672
5.55,-0.25725224053193335
5.56,-0.25834647651739834
5.58,-0.25937625013057175
5.60,-0.2603907428827446
5.61,-0.2614892352497678
5.63,-0.26257808683736056
5.65,-0.2636065519516097
5.66,-0.2646998554435884
5.68,-0.26572428977954216
5.69,-0.26676165870256324
5.71,-0.2678301909562862
5.73,-0.26892729962329753
5.75,-0.26998148350950624
5.76,-0.27104575938167097
5.78,-0.2721170740756352
5.80,-0.27353183213667326
5.82,-0.2745481297149486
5.83,-0.27557907646508856
5.85,-0.2765826800997768
