time, trail_pos
0.00,-0.16541008052509173
0.02,-0.16874936336463076
0.04,-0.17209021025228954
0.06,-0.17553123642721047
0.08,-0.179057282653771
0.10,-0.18253953553297753
0.12,-0.18602968886037888
0.15,-0.18947412385812498
0.16,-0.19292854470155893
0.18,-0.1955892712798989
0.20,-0.19909390207835773
0.22,-0.20263294193545184
0.24,-0.20612758688822283
0.26,-0.20962102872705551
0.28,-0.21307268240843139
0.31,-0.21661741700483345
0.32,-0.21998842194854554
0.35,-0.22342768355635695
0.36,-0.22672726363593218
0.38,-0.23005371326012936
0.40,-0.23352361416956938
0.43,-0.23684573258358868
0.44,-0.24023971700352223
0.46,-0.24352473940444408
0.48,-0.24693296067264747
0.51,-0.2505148714897429
0.53,-0.2538261618783175
0.54,-0.2573802807634383
0.57,-0.26072140837768265
0.59,-0.26415974759814137
0.60,-0.2676033805199286
0.63,-0.2710987874448605
0.65,-0.2745451474249079
0.67,-0.2780882778693922
0.69,-0.281398766182008
0.71,-0.28488976168916613
0.73,-0.28836840522655777
0.75,-0.2919088487165799
0.77,-0.29536046229415786
0.81,-0.2987785892004532
0.81,-0.302434331109562
0.83,-0.3055683226074298
0.85,-0.30898917657198527
0.87,-0.3124770439829039
0.89,-0.3158942083980486
0.91,-0.31574945311755387
0.94,-0.31560022026012213
0.96,-0.31544693236990706
0.98,-0.3152981742225739
1.00,-0.31514859706990583
1.02,-0.314999906738301
1.04,-0.31484815948232525
1.06,-0.31469623138440717
1.08,-0.3145460612788321
1.10,-0.31439882116049545
1.12,-0.3142546414442594
1.14,-0.31410672664636874
1.16,-0.31396145144528986
1.18,-0.31381800031341756
1.20,-0.3136710697130206
1.22,-0.31352637703165975
1.24,-0.3133793751378048
1.26,-0.3132319176613644
1.29,-0.31308757101410467
1.30,-0.31294115337883255
1.32,-0.31279443318108
1.34,-0.3126484398288264
1.36,-0.312504366183345
1.38,-0.3123579398537487
1.40,-0.31221127008307625
1.42,-0.3120643029665179
1.44,-0.3119207196809185
1.46,-0.3117745872194785
1.48,-0.3116279574426971
1.50,-0.3114843602461791
1.52,-0.311337001885034
1.55,-0.31119008171782603
1.56,-0.31104343455239636
1.58,-0.31089789678272817
1.60,-0.31075352057476635
1.62,-0.310607984543963
1.64,-0.31046075311995047
1.66,-0.3103161004324807
1.68,-0.31016987233347504
1.70,-0.3100230130265361
1.72,-0.30987938453045116
1.74,-0.3097257888611612
1.77,-0.30958779428712513
1.78,-0.30946532777602004
1.80,-0.30931768424104283
1.82,-0.30916664122532317
1.84,-0.30901659979574553
1.86,-0.3088678781645738
1.88,-0.30871640738810596
1.90,-0.3085945981679066
1.91,-0.30845184258196623
1.93,-0.308309208716564
1.95,-0.3081651194212991
1.97,-0.30801811404971446
2.00,-0.3078706826562465
2.01,-0.30772172106172824
2.03,-0.307581029508341
2.05,-0.3074354813054838
2.07,-0.3072904599786701
2.09,-0.3071434372184372
2.11,-0.3069967326704681
2.13,-0.30684949776872594
2.16,-0.3067053806516238
2.17,-0.30655968290639124
2.19,-0.3064143851000696
2.21,-0.30626728756864896
2.24,-0.30611547945240414
2.26,-0.3059635530933509
2.28,-0.3058124109623359
2.30,-0.30566130360861754
2.32,-0.3055136183408844
2.34,-0.3053641594310248
2.36,-0.30521091327356564
2.38,-0.30506280546167885
2.40,-0.30491962907044967
2.42,-0.30477286887880606
2.44,-0.30462641646623734
2.46,-0.3044812125586165
2.48,-0.30433561914527374
2.50,-0.304188236440021
2.52,-0.30404158927459135
2.54,-0.30389647057134717
2.56,-0.30375313072682397
2.58,-0.30360616534913043
2.60,-0.30345791321146276
2.62,-0.30331367089609285
2.64,-0.3031691816619171
2.66,-0.3030213694570514
2.68,-0.3029064687468212
2.70,-0.30275643948929737
2.72,-0.30260830037784364
2.74,-0.30246050034503175
2.76,-0.3023112605321407
2.78,-0.3021616972903913
2.80,-0.30201254615960654
2.82,-0.30186402449789024
2.83,-0.3017162105541597
2.85,-0.3015667133892738
2.88,-0.3014145105507126
2.89,-0.30127151500142574
2.91,-0.30112587289986775
2.94,-0.300978347607699
2.95,-0.30083316108872643
2.98,-0.3006901272844133
2.99,-0.3005416595275067
3.01,-0.3003981423187709
3.04,-0.3002513612607493
3.06,-0.3001039507336593
3.07,-0.2999607030489721
3.10,-0.2998128508502153
3.12,-0.2996690154292156
3.13,-0.2995223439196783
3.15,-0.2993752950764729
3.18,-0.2992290739329266
3.20,-0.2990862418369337
3.21,-0.29893973899728493
3.23,-0.29879271797591683
3.26,-0.29864614036508036
3.28,-0.29849989313856157
3.30,-0.2983565532940384
3.32,-0.2982107268728084
3.34,-0.2980644883406138
3.36,-0.2979172656109254
3.38,-0.2977707314717097
3.39,-0.29762420254908845
3.41,-0.2974798593795584
3.44,-0.29733276010927295
3.46,-0.2971870449753921
3.48,-0.29704249835867697
3.49,-0.29689587205962525
3.51,-0.2967493953029489
3.54,-0.296599407778181
3.55,-0.29648415929498484
3.57,-0.2963372356500472
3.60,-0.2961872829025759
3.62,-0.29603753186342485
3.64,-0.29588891630300773
3.66,-0.2957378680706936
3.68,-0.2975079422751306
3.70,-0.2993141025250221
3.72,-0.3010409271498098
3.74,-0.3027725825152361
3.76,-0.3045278135465142
3.78,-0.30623143410088377
3.80,-0.3079821646985755
3.82,-0.3096862187809511
3.84,-0.3114451864107574
3.86,-0.31316949244427195
3.88,-0.3149382660646909
3.90,-0.316670375602314
3.92,-0.3183752141639386
3.94,-0.3166735690155031
3.97,-0.3148885772977592
3.98,-0.31311362657767594
4.00,-0.31132050144220275
4.02,-0.3096013526757158
4.04,-0.3078261294442138
4.06,-0.3060951788370526
4.08,-0.3043336440637393
4.10,-0.3025850221391921
4.12,-0.3007608307019797
4.14,-0.3017538792510586
4.16,-0.30279034243017106
4.18,-0.3038101462228151
4.20,-0.30484458045243834
4.22,-0.3058597396619144
4.24,-0.30691332668581195
4.26,-0.30790643634782733
4.28,-0.30893924497334174
4.30,-0.3099946409401574
4.32,-0.31080673408449383
4.34,-0.31185549318641415
4.36,-0.31294942697093686
4.38,-0.31399894387326877
4.40,-0.3150679924700808
4.42,-0.3161545560344711
4.44,-0.3171861546238444
4.46,-0.3180134037764133
4.48,-0.3190804723140853
4.50,-0.32012665245008864
4.52,-0.3211896875339569
4.53,-0.3220247835875622
4.56,-0.32305107757405416
4.58,-0.32416054626701507
4.60,-0.3252074597582555
4.62,-0.3262732327016754
4.64,-0.32732820087793607
4.66,-0.3283980317203343
4.68,-0.32946717809784465
4.70,-0.3304784627471516
4.72,-0.33149825431720836
4.74,-0.3325528313706759
4.76,-0.3336047805678774
4.78,-0.3346490417576771
4.80,-0.33569384074131736
4.82,-0.33673620743008803
4.84,-0.33779514794721605
4.86,-0.3386055299293327
4.88,-0.33966615716350596
4.90,-0.3407263199393624
4.92,-0.3417412958100292
4.94,-0.34277663451111146
4.96,-0.3438120832154793
4.98,-0.3448313614368701
5.00,-0.3458514463490217
5.02,-0.34688911956427526
5.04,-0.34790264094705525
5.06,-0.348921699161875
5.08,-0.3499755550826928
5.10,-0.35097943284410554
5.12,-0.3520372977735526
5.14,-0.35309781500444026
5.16,-0.35417271822056146
5.18,-0.35523569219149326
5.20,-0.35602569912060716
5.22,-0.3570667091021893
5.24,-0.3581155904299824
5.26,-0.3592070552518737
5.28,-0.3602269812703906
5.30,-0.3612367869866362
5.32,-0.36226284874396975
5.34,-0.36328689377440143
5.36,-0.3643171356565862
5.38,-0.3653310114943974
5.40,-0.3663481996533626
5.42,-0.3673984988012807
5.44,-0.3684127046489486
5.46,-0.369438546399711
5.48,-0.37045593012007283
5.50,-0.37147429164741735
5.52,-0.37251879728896276
5.54,-0.3735390288721617
5.56,-0.37456482173257505
5.58,-0.37558288991782474
5.60,-0.37662592884889606
5.62,-0.3776597275039805
5.64,-0.37866983878490823
5.66,-0.37969297934388085
5.68,-0.38070936081208534
5.70,-0.3817661990442005
5.72,-0.38282480955147186
5.74,-0.38387163748460124
5.76,-0.384937447095783
5.78,-0.3859854972876408
5.80,-0.3870427877554855
5.82,-0.3881352914972959
5.85,-0.38917438253267445
5.86,-0.3902081078522352
5.89,-0.39122991614919383
5.91,-0.39229358680760085
5.92,-0.3930995319905333
5.94,-0.39391398409421563
5.96,-0.3950103257284333
5.97,-0.3960816843942421
6.00,-0.3971433138805726
6.02,-0.3981990398572449
6.04,-0.39925156351604874
6.06,-0.40031826537610227
6.08,-0.40138002931089295
6.10,-0.40241772697132105
6.12,-0.40345108561326326
6.14,-0.4045530740828062
6.16,-0.40557307343684684
6.18,-0.406604366461538
6.20,-0.4076252458418631
6.22,-0.4086620023630703
6.25,-0.40967840827644936
6.26,-0.41069841985307726
6.28,-0.4117244816104108
6.31,-0.41276411043962985
6.32,-0.41377736292548956
6.35,-0.41481305608160307
6.36,-0.41581738607874535
6.38,-0.4168492657876262
6.40,-0.41787795540122585
6.43,-0.4189192709474901
6.45,-0.41997322464900616
6.46,-0.4207754908331661
6.48,-0.4218241521543882
6.50,-0.4226123623631713
6.52,-0.4236590925156024
6.54,-0.4247049426417491
6.56,-0.42571886736990944
6.58,-0.4267705354476034
6.60,-0.4278265669889578
6.62,-0.4286302754384173
6.64,-0.42967273990788624
6.66,-0.43074633530716805
6.68,-0.4318259197742191
6.70,-0.43287269881699936
6.72,-0.4339220690482839
6.74,-0.434948583041347
6.76,-0.43599880885374137
6.78,-0.4370663540723175
6.80,-0.4381259423865716
6.82,-0.43914944962316277
6.84,-0.4401766236359392
6.86,-0.441195730741108
6.88,-0.4422275004467033
6.90,-0.4432435274598765
6.92,-0.4443029813256705
6.94,-0.4452997455412838
6.96,-0.4463274940156626
6.98,-0.4473511112555393
7.00,-0.4483834065323878
7.02,-0.4494006435817022
7.04,-0.45046505981793356
7.06,-0.4512705038747874
7.08,-0.45235866859811197
7.09,-0.45342368374112024
7.12,-0.45448366317816746
7.14,-0.45555211286820263
7.16,-0.4565793235487409
7.17,-0.45760696201983414
7.20,-0.458620263396043
7.22,-0.4596624467460044
7.24,-0.4606873229123714
7.25,-0.46171053680686774
7.27,-0.46273014503811527
7.30,-0.46376699934002075
7.31,-0.464790897699405
7.34,-0.46581466161032914
7.36,-0.46686992312868464
7.38,-0.4679490186922443
7.40,-0.4689977777941646
7.42,-0.4700480769420827
7.44,-0.47110764081116224
7.46,-0.47217173926012423
7.49,-0.47323973671442987
7.50,-0.4742686585571879
7.52,-0.4752867634101995
7.54,-0.47632178432401234
7.56,-0.47732841216756405
7.59,-0.4783837836892051
7.61,-0.47945295451189
7.62,-0.48053154894937106
7.64,-0.4815857837703947
7.67,-0.4826431231285885
7.69,-0.4836886065771166
7.70,-0.4845184469181897
7.72,-0.48553941185662575
7.74,-0.4865729782825518
7.76,-0.4875863407716971
7.78,-0.4886304186226876
7.80,-0.48964617673894056
7.83,-0.4906858177907469
7.84,-0.4916925311924096
