time, trail_pos
0.02,0.0
0.04,0.0
0.06,0.0
0.08,0.0
0.09,0.0
0.12,0.0
0.13,0.0
0.16,0.0
0.18,0.0
0.20,0.0
0.21,0.0
0.24,0.0
0.26,0.0
0.28,0.0
0.30,0.0
0.31,0.0
0.34,0.0
0.35,0.0
0.38,0.0
0.40,0.0
0.41,0.0
0.44,0.0
0.46,0.0
0.48,0.0
0.50,0.0
0.51,0.0
0.54,0.0
0.56,0.0
0.58,0.0
0.60,0.0
0.61,0.0
0.63,0.0
0.66,0.0
0.68,0.0
0.69,0.0
0.71,0.0
0.74,0.0
0.75,0.0
0.77,0.0
0.79,0.0
0.82,0.0
0.83,0.0
0.86,0.0
0.88,0.0
0.89,0.0
0.92,0.0
0.94,0.0
0.95,0.0
0.98,0.0
0.99,0.0
1.01,0.0
1.04,0.0
1.06,0.0
1.07,0.0
1.09,0.0
1.12,0.0
1.13,0.0
1.16,0.0019391292047007454
1.17,0.003915366800946721
1.19,0.005874764511148916
1.22,0.007819561433728663
1.23,0.009375571568962439
1.25,0.010911453142346098
1.27,0.012937090847512751
1.29,0.014755168793810138
1.30,0.016432346807156717
1.32,0.017955236944908262
1.34,0.02003036805476315
1.36,0.02199107190571112
1.38,0.023496142551859552
1.40,0.02544707367115608
1.42,0.027410926254259053
1.44,0.029307909095966568
1.50,0.03128258398810599
1.50,0.03567968348482592
1.52,0.03765272570103312
1.54,0.03960612915816987
1.56,0.0415665064739314
1.58,0.04352469133915537
1.60,0.04503540637924091
1.62,0.04692119372884176
1.63,0.04890011357840496
1.66,0.050872502724239266
1.68,0.052807130408155455
1.70,0.05481457543864877
1.72,0.056771594106778296
1.74,0.058700810636176264
1.76,0.05603946321409162
1.78,0.05341158468420325
1.80,0.05074009517357428
1.82,0.04811519588219581
1.84,0.045438508551187876
1.86,0.04279294475440034
1.88,0.04009378635846138
1.90,0.037468221492522186
1.92,0.034786082788921674
1.94,0.03206293201477004
1.96,0.029496634978761756
1.97,0.02751265229533131
1.99,0.02483406332272131
2.01,0.02213706012059802
2.03,0.019506963008840583
2.05,0.01684653471353027
2.07,0.014788546477752943
2.09,0.012187576176533743
2.10,0.009559412400405068
2.13,0.006849192789147453
2.14,0.00420150549257095
2.17,0.00159774611700206
2.19,-0.0010690209836484573
2.21,-0.0037627913950482434
2.22,-0.006401604364148461
2.25,-0.00910665784905381
2.27,-0.011745122183860316
2.28,-0.014367707811289612
2.30,-0.017043602791630023
2.33,-0.019714553503805077
2.35,-0.02234614023481746
2.37,-0.02508570851480022
2.39,-0.02769346133773344
2.41,-0.03033604589601108
2.43,-0.03300883486173479
2.45,-0.03566850250040428
2.47,-0.038355110061769636
2.49,-0.041032811601632004
2.51,-0.043663637676003564
2.53,-0.046304922779186464
2.55,-0.04894858493437194
2.57,-0.05161186569208534
2.59,-0.054265701629841845
2.61,-0.05693871245375246
2.63,-0.059623671925729364
2.65,-0.06227158108049277
2.67,-0.06494826841150071
2.69,-0.06756315239044167
2.71,-0.07020659268744023
2.73,-0.07287415213875827
2.75,-0.07555990396140269
2.77,-0.07817726007442632
2.79,-0.0808489397492155
2.81,-0.08352014401360416
2.83,-0.08619204554658025
2.85,-0.08883586617189923
2.87,-0.09152082564387613
2.89,-0.09412902218318317
2.91,-0.09680171606682678
2.93,-0.0994902569638209
2.95,-0.10213376064887286
2.97,-0.10482962286603492
2.99,-0.10743582268165978
3.01,-0.11014151004709916
3.03,-0.11275119620566114
3.05,-0.11542433380567856
3.06,-0.11812178072417566
3.09,-0.12077973688540329
3.11,-0.12341395422063187
3.12,-0.12605000980940909
3.15,-0.12871446324611044
3.17,-0.13140034184486168
3.19,-0.13405319526779044
3.21,-0.13668896561032737
3.23,-0.1393619130461846
3.24,-0.14219773608525835
3.27,-0.14493866720838924
3.29,-0.14767690433925057
3.31,-0.15041640923117994
3.33,-0.15309411077104232
3.35,-0.1558216353208787
3.36,-0.15786105085700922
3.38,-0.1606352607081762
3.40,-0.16327619717706537
3.43,-0.16592280687673405
3.45,-0.16857955866494706
3.47,-0.1712816012173158
3.49,-0.173901334382342
3.51,-0.17658939986893563
3.53,-0.17923768935201945
3.55,-0.18188173183552533
3.57,-0.18460092085633933
3.59,-0.187222302110754
3.61,-0.18986155879622804
3.63,-0.19255501226736083
3.65,-0.1952056788024472
3.67,-0.19786477594863608
3.69,-0.20048339982272775
3.71,-0.2031909888297692
3.73,-0.20583953186506662
3.75,-0.20848154593086365
3.77,-0.20668305595947595
3.79,-0.2049216014811922
3.81,-0.20316120214516212
3.83,-0.20139419761862404
3.85,-0.19962436531084612
3.86,-0.19787025462264796
3.89,-0.19605066180618674
3.91,-0.19433402977083908
3.93,-0.19250188076155916
3.95,-0.19076028406048956
3.97,-0.18902522924139273
3.98,-0.18724615388747262
4.00,-0.18546857683555273
4.03,-0.1836610337436285
4.04,-0.18191492103371318
4.07,-0.18017416844644651
4.08,-0.17837036055810027
4.11,-0.17659556908173007
4.13,-0.17484565785970152
4.15,-0.17308454102693893
4.17,-0.1712776943289021
4.18,-0.16954344141791808
4.21,-0.167751451122813
4.23,-0.16600757531447546
4.25,-0.16422035426235698
4.27,-0.16241409844398222
4.29,-0.16059648929495793
4.31,-0.1587504968193098
4.32,-0.1573525599502619
4.35,-0.1555075804111773
4.37,-0.15368627826426515
4.39,-0.1518460890710122
4.41,-0.15005907904734447
4.43,-0.14823944402519312
4.45,-0.14640016225427835
4.47,-0.14455788387936316
4.49,-0.14273799562307093
4.51,-0.14093127554210455
4.53,-0.13913223689674492
4.55,-0.13733165774369493
4.57,-0.13546819211232597
4.60,-0.1336880405133071
4.62,-0.1319247922931921
4.63,-0.13016040451944313
4.65,-0.12837255038197246
4.67,-0.12658623675219213
4.70,-0.12480036628215836
4.71,-0.12303251764181734
4.73,-0.12130001626697441
4.75,-0.11951264749494042
4.77,-0.11775425292919232
4.79,-0.11598598223194984
4.81,-0.11419544803315482
4.83,-0.11245233192723993
4.85,-0.11066738998238938
4.87,-0.10890355088261233
4.89,-0.10713234688990463
4.91,-0.10535274396485768
4.93,-0.10357681293485352
4.95,-0.10182913861440275
4.97,-0.10006063578586445
5.00,-0.09828719489157896
5.01,-0.09649813789193909
5.03,-0.09473681003072577
5.05,-0.0929899376183878
5.07,-0.09119446535384558
5.09,-0.08945200343612797
5.11,-0.08762726152546883
5.13,-0.08588929451375187
5.15,-0.08411549487110012
5.17,-0.08237166126845273
5.19,-0.08057289696007906
5.21,-0.07879848533492019
5.24,-0.07704055503176371
5.25,-0.07527483777877511
5.27,-0.07348265755806437
5.29,-0.0717385707212761
5.31,-0.06997669418609087
5.33,-0.0681837331601124
5.35,-0.06642962247191422
5.37,-0.0646725151797156
5.39,-0.0628881008059919
5.41,-0.06112035767987625
5.43,-0.05931061989206437
5.45,-0.05757970123060195
5.47,-0.055711909515992905
5.49,-0.05403473980093265
5.52,-0.052253955116561585
5.53,-0.050365862464991855
5.55,-0.04870335922725767
5.57,-0.04696271215421638
5.59,-0.045163631303166606
5.61,-0.04338086295135864
5.63,-0.041589442433070535
5.65,-0.03978654196706246
5.67,-0.038397236161649605
5.69,-0.03657335946763848
5.71,-0.034751360926838906
5.73,-0.032805678611063635
5.75,-0.031125765526143826
5.77,-0.02925400647666097
5.79,-0.027430636250931617
5.81,-0.026102803033217825
5.83,-0.024330628309636743
5.85,-0.02256510098225381
5.87,-0.020752092253455538
5.88,-0.01933659781730649
5.90,-0.017513459722872944
5.93,-0.015664723877365262
5.95,-0.013856864242764918
5.96,-0.012436094095347499
5.98,-0.010670672282189932
6.00,-0.008880644551676682
6.02,-0.007109546073194348
6.04,-0.005349885336741841
6.06,-0.0035881565214721345
6.08,-0.001832209885752562
6.10,-3.6864238280794135e-05
6.12,0.0017411770762307164
6.14,0.0035313314238144067
6.16,0.005326170603004411
6.18,0.007069096783313644
6.20,0.008854524093600874
6.22,0.010597914536501723
6.24,0.01236648067357524
6.27,0.014178982934091752
6.28,0.015907031608624177
6.30,0.017644513254904452
